序号,企业名称,国家,省份,城市,经度,纬度,备注
35,济南西门子能源变压器有限公司,中国,山东,济南,116.922441,36.622649,
36,济南建工集团建材科技有限公司,中国,山东,济南,,,未找到坐标
37,方块云（山东）信息技术有限公司,中国,山东,济南,,,未找到坐标
38,济南利君机械设备有限公司,中国,山东,济南,,,未找到坐标
39,盛润（山东）工业科技有限公司,中国,山东,济南,,,未找到坐标
40,济南盈讯科技有限公司,中国,山东,济南,117.135435,36.675736,
41,格林纬度智能科技（山东）有限公司,中国,山东,济南,,,未找到坐标
42,山东鑫士达新能源科技有限公司,中国,山东,济南,,,未找到坐标
43,济南超控电气设备有限公司,中国,山东,济南,,,未找到坐标
44,济南伯宇珅航信息科技集团有限公司,中国,山东,济南,,,未找到坐标
45,山东瓦尔特信息科技有限公司,中国,山东,济南,,,未找到坐标
46,山东省竞体体育发展集团有限公司,中国,山东,济南,,,未找到坐标
47,清智优化（济南）信息科技有限责任公司,中国,山东,济南,,,未找到坐标
48,山东鼎立激光设备有限公司,中国,山东,济南,,,未找到坐标
49,济南圣都食品有限公司,中国,山东,济南,116.900514,36.525929,
50,济南智慧城系统集成有限公司,中国,山东,济南,,,未找到坐标
51,山东和信新能源科技有限公司,中国,山东,济南,,,未找到坐标
52,山东中州新型建材有限公司,中国,山东,济南,,,未找到坐标
53,山东京鲁智能设备有限公司,中国,山东,济南,116.815684,36.609261,
54,山东综纬新材料科技有限公司,中国,山东,济南,,,未找到坐标
55,济南鲁味斋食品有限责任公司,中国,山东,济南,,,未找到坐标
56,山东乐宁医疗科技有限公司,中国,山东,济南,,,未找到坐标
57,济南伊特网络信息有限公司,中国,山东,济南,,,未找到坐标
58,济南强富机械设备有限公司,中国,山东,济南,,,未找到坐标
59,山东金象技术开发有限公司,中国,山东,济南,,,未找到坐标
60,山东良乔环保科技集团有限公司,中国,山东,济南,116.973125,36.787075,
61,山东利丰行工程机械有限公司,中国,山东,济南,116.971567,36.650113,
62,济南鸿博建筑装饰有限公司,中国,山东,济南,117.120128,36.652069,
63,山东科视文化产业有限公司,中国,山东,济南,116.898548,36.670568,
64,山东凡知智造医药科技有限公司,中国,山东,济南,,,未找到坐标
65,山东悠远铁路工程设计有限公司,中国,山东,济南,,,未找到坐标
66,济南思克测试技术有限公司,中国,山东,济南,,,未找到坐标
67,山东华视风行集团有限公司,中国,山东,济南,116.909114,36.670102,
68,山东禾力升医学检验实验室有限公司,中国,山东,济南,,,未找到坐标
69,山东吉星环保科技有限公司,中国,山东,济南,,,未找到坐标
70,济南鸿鹏通风设备有限公司,中国,山东,济南,116.901193,36.792266,
71,山东创康生物科技有限公司,中国,山东,济南,,,未找到坐标
72,尤尼沃流体控制设备（山东）有限公司,中国,山东,济南,,,未找到坐标
73,济南北方泰和新材料有限公司,中国,山东,济南,117.013414,36.707275,
74,山东国镓晶谷半导体科技有限公司,中国,山东,济南,,,未找到坐标
75,济南昊博制冷设备有限公司,中国,山东,济南,117.120128,36.652069,
76,山东沁垣环保科技有限公司,中国,山东,济南,,,未找到坐标
77,中科卫星（山东）科技集团有限公司,中国,山东,济南,,,未找到坐标
78,山东奥凯机电设备有限公司,中国,山东,济南,,,未找到坐标
79,山东汇友市政园林集团有限公司,中国,山东,济南,116.990204,36.688548,
80,山东长才机械制造有限公司,中国,山东,济南,,,未找到坐标
81,山东联升安全设施有限公司,中国,山东,济南,,,未找到坐标
82,济南银河路桥试验检测有限公司,中国,山东,济南,116.956570,36.697247,
83,山东德渡生物技术有限公司,中国,山东,济南,116.945069,36.713165,
84,山东九旭机械科技有限公司,中国,山东,济南,116.918605,36.796991,
85,济南汇金电器有限公司,中国,山东,济南,117.120128,36.652069,
86,山东润安生物科技有限公司,中国,山东,济南,,,未找到坐标
87,济南凯能电器有限公司,中国,山东,济南,116.919609,36.801598,
88,山东硕淳科技有限公司,中国,山东,济南,,,未找到坐标
89,山东嘉拓电子技术有限公司,中国,山东,济南,117.031625,36.679825,
90,山东奥克斯畜牧种业有限公司,中国,山东,济南,117.093361,36.716674,
91,济南金圣冷藏设备有限公司,中国,山东,济南,117.120128,36.652069,
92,山东冠鑫信息工程有限公司,中国,山东,济南,,,未找到坐标
93,道和陆港（山东）产业发展有限公司,中国,山东,济南,,,未找到坐标
94,盛世华通（山东）智慧能源科技有限公司,中国,山东,济南,,,未找到坐标
95,济南辰禾机器有限公司,中国,山东,济南,117.295847,36.735931,
96,山东冉通新能源科技有限公司,中国,山东,济南,,,未找到坐标
97,山东希诺世行生物科技有限公司,中国,山东,济南,,,未找到坐标
98,山东兴牛乳业有限公司,中国,山东,济南,117.083782,36.703353,
99,山东光之聚激光科技有限公司,中国,山东,济南,117.303830,36.737507,
100,济南云祥电子科技有限公司,中国,山东,济南,117.031625,36.679825,
101,山东大盾科创集团有限公司,中国,山东,济南,,,未找到坐标
102,山东宏桥建设集团有限公司,中国,山东,济南,117.222112,36.653540,
103,中保鉴（山东）智慧科技有限公司,中国,山东,济南,,,未找到坐标
104,山东力拓智能科技有限公司,中国,山东,济南,117.085010,36.682667,
105,山东小悟空数字科技有限公司,中国,山东,济南,,,未找到坐标
106,山东济钢众电智能科技有限公司,中国,山东,济南,117.208643,36.751319,
107,山东显微智能科技有限公司,中国,山东,济南,117.247926,36.660408,
108,济南华钜实业有限公司,中国,山东,济南,117.120128,36.652069,
109,济南城市照明工程有限公司,中国,山东,济南,116.951885,36.685119,
110,山东大齐通信电子有限公司,中国,山东,济南,117.031625,36.679825,
111,济南高和保洁服务有限公司,中国,山东,济南,117.120128,36.652069,
112,济南悦创液压机械制造有限公司,中国,山东,济南,117.282212,36.742214,
113,山东中晶芯源半导体科技有限公司,中国,山东,济南,117.276177,36.648531,
114,山东泺特网络科技有限公司,中国,山东,济南,,,未找到坐标
115,济南聚格实业有限公司,中国,山东,济南,117.085275,36.702870,
116,名川开物（山东）智能装备有限公司,中国,山东,济南,,,未找到坐标
117,山东中测检测科技有限公司,中国,山东,济南,117.087377,36.685108,
118,山东晶特数字能源科技有限公司,中国,山东,济南,116.968898,36.687055,
119,济南华昊精密机械制造有限公司,中国,山东,济南,,,未找到坐标
120,山东维普信息科技发展有限公司,中国,山东,济南,,,未找到坐标
121,济南延世数控设备有限公司,中国,山东,济南,117.192644,36.763319,
122,济南铭泰展鸿自动化设备有限公司,中国,山东,济南,,,未找到坐标
123,山东金源杰生态农业科技发展有限公司,中国,山东,济南,,,未找到坐标
124,济南融华新材料技术有限公司,中国,山东,济南,,,未找到坐标
125,达夫（济南）工业科技有限公司,中国,山东,济南,,,未找到坐标
126,济南清瀛工程咨询服务有限公司,中国,山东,济南,,,未找到坐标
127,山东启迪济能环保科技有限公司,中国,山东,济南,116.808166,36.338863,
128,济南腾笙环保科技有限公司,中国,山东,济南,116.805045,36.333871,
129,济南鼎润纸制品有限公司,中国,山东,济南,116.780589,36.578971,
130,济南天翔锅炉有限公司,中国,山东,济南,117.120128,36.652069,
131,山东大鲁新型环保墙材科技有限公司,中国,山东,济南,116.822317,36.602426,
132,济南中路昌试验机制造有限公司,中国,山东,济南,116.707947,36.488423,
133,山东未来数据科技有限公司,中国,山东,济南,,,未找到坐标
134,济南益洲激光科技有限公司,中国,山东,济南,,,未找到坐标
135,山东仕达环保科技有限公司,中国,山东,济南,,,未找到坐标
136,山东信邦工业设备有限公司,中国,山东,济南,,,未找到坐标
137,山东涵轲尔建设机械有限公司,中国,山东,济南,116.692073,36.430184,
138,山东子峰生物技术有限公司,中国,山东,济南,116.804439,36.516855,
139,济南华川数控机械有限公司,中国,山东,济南,117.120128,36.652069,
140,山东容万电气设备有限公司,中国,山东,济南,116.718597,36.376121,
141,济南千木奇农业生态园有限公司,中国,山东,济南,116.692793,36.444256,
142,山东津达特种线缆集团有限公司,中国,山东,济南,116.757663,36.581541,
143,山东微谱检测技术有限公司,中国,山东,济南,116.802405,36.516363,
144,山东金太阳制药机械有限公司,中国,山东,济南,,,未找到坐标
145,山东明莱特锻造有限公司,中国,山东,济南,,,未找到坐标
146,济南恒储机械制造有限公司,中国,山东,济南,117.184162,37.017461,
147,山东三生万物生物科技有限公司,中国,山东,济南,117.489078,36.603436,
148,山东万运汽车配件有限公司,中国,山东,济南,117.565190,36.773335,
149,济南元通岳机械有限公司,中国,山东,济南,,,未找到坐标
150,济南苏田建材科技有限公司,中国,山东,济南,117.595139,36.711770,
151,济南厚德耐磨材料有限公司,中国,山东,济南,117.589349,36.681280,
152,章丘市铜铝铸造厂,中国,山东,济南,117.445188,36.853889,
153,山东金恒达智能设备有限公司,中国,山东,济南,,,未找到坐标
154,章丘华明水泥新型建材有限公司,中国,山东,济南,117.609155,36.672458,
155,劲田作物营养（山东）有限公司,中国,山东,济南,,,未找到坐标
156,山东彩星印务有限公司,中国,山东,济南,,,未找到坐标
157,济南泽通机电有限公司,中国,山东,济南,117.437157,36.634214,
158,山东朝鲁建筑科技有限公司,中国,山东,济南,,,未找到坐标
159,有维光电（山东）有限公司,中国,山东,济南,,,未找到坐标
160,山东引持环保设备有限公司,中国,山东,济南,,,未找到坐标
161,山东欣盛自动化设备有限公司,中国,山东,济南,,,未找到坐标
162,山东三盛能源装备科技有限责任公司,中国,山东,济南,116.968898,36.687055,
163,中科鸿业建材（山东）有限公司,中国,山东,济南,,,未找到坐标
164,山东金钻石金属材料有限公司,中国,山东,济南,117.568775,36.741575,
165,济南旺诚环保科技有限公司,中国,山东,济南,117.412412,36.741447,
166,济南和新能源科技有限公司,中国,山东,济南,,,未找到坐标
167,山东威源机械股份有限公司,中国,山东,济南,,,未找到坐标
168,济南泽楷机械制造股份有限公司,中国,山东,济南,,,未找到坐标
169,济南矗鑫锻造机械有限公司,中国,山东,济南,,,未找到坐标
170,山东金呈阳建设工程有限公司,中国,山东,济南,117.210535,36.735056,
171,山东旺登生物科技有限公司,中国,山东,济南,,,未找到坐标
172,山东济钢鲁纳新材料科技有限公司,中国,山东,济南,,,未找到坐标
173,山东信合成航空科技有限公司,中国,山东,济南,117.593290,36.681688,
174,山东圣泉电子材料有限公司,中国,山东,济南,117.031625,36.679825,
175,美敦宜（山东）医疗器械有限公司,中国,山东,济南,,,未找到坐标
176,济南元首针织股份有限公司,中国,山东,济南,117.165841,36.976186,
177,济南优谷生物技术有限公司,中国,山东,济南,,,未找到坐标
178,铭牌精工机械（山东）有限公司,中国,山东,济南,117.275144,37.097491,
179,济南易丰农业科技有限公司,中国,山东,济南,,,未找到坐标
180,济南天峰液压机械有限公司,中国,山东,济南,117.215564,37.009684,
181,山东欧亚德新材料科技有限公司,中国,山东,济南,,,未找到坐标
182,山东九肽生物科技集团有限公司,中国,山东,济南,117.288844,37.120750,
183,阿斯泰克（山东）环保纤维有限公司,中国,山东,济南,,,未找到坐标
184,山东青云装备科技有限公司,中国,山东,济南,,,未找到坐标
185,山东维磁新材料有限公司,中国,山东,济南,,,未找到坐标
186,山东三立重工集团有限公司,中国,山东,济南,117.209818,36.743562,
187,济南广兴建设集团有限公司,中国,山东,济南,117.222112,36.653540,
188,济南虫洞智能家居设施有限公司,中国,山东,济南,117.142185,36.933134,
189,山东亿晨新材料有限公司,中国,山东,济南,,,未找到坐标
190,济南万安通信技术有限公司,中国,山东,济南,,,未找到坐标
191,济南铭品机电设备有限公司,中国,山东,济南,117.120128,36.652069,
192,山东盈鑫土工材料有限公司,中国,山东,济南,117.735013,36.176779,
193,济南市莱芜金牛矿业开发公司,中国,山东,济南,117.574696,36.202318,
194,山东莱芜煤机智能科技有限公司,中国,山东,济南,117.675828,36.214895,
195,山东禾宝药业有限公司,中国,山东,济南,117.609906,36.288998,
196,山东物华新材料科技有限公司,中国,山东,济南,,,未找到坐标
197,山东华涛药业有限公司,中国,山东,济南,117.731754,36.162196,
198,山东顺泰电气有限公司,中国,山东,济南,117.724561,36.218125,
199,山东祥川环保科技有限公司,中国,山东,济南,117.739208,36.169908,
200,济南市时代酒具制造股份有限公司,中国,山东,济南,,,未找到坐标
201,山东德瑞祥制冷科技有限公司,中国,山东,济南,116.955612,36.704945,
202,山东恒越汽车内饰件有限公司,中国,山东,济南,117.728684,36.180355,
203,山东新青云科技有限公司,中国,山东,济南,,,未找到坐标
204,山东深蓝信息科技有限公司,中国,山东,济南,,,未找到坐标
205,山东红太阳地毯有限公司,中国,山东,济南,,,未找到坐标
206,山东兴隆机械有限公司,中国,山东,济南,117.564140,36.306833,
207,山东科泰电力科技有限公司,中国,山东,济南,117.613360,36.304587,
208,济南市润泽纤维有限公司,中国,山东,济南,117.128559,37.271251,
209,山东昊坤果业有限公司,中国,山东,济南,,,未找到坐标
210,山东齐贤新材料科技有限公司,中国,山东,济南,,,未找到坐标
211,济南钢城元达管业有限公司,中国,山东,济南,117.811604,36.059393,
212,山东奇力浦电气科技有限公司,中国,山东,济南,,,未找到坐标
213,济南市佳新纤维有限公司,中国,山东,济南,117.790769,36.122977,
214,山东邦巨实业有限公司,中国,山东,济南,117.816149,36.021964,
215,莱芜市瑞程公路材料有限公司,中国,山东,济南,,,未找到坐标
216,山东立志高速公路材料有限公司,中国,山东,济南,117.817186,36.086353,
217,济南蓝妃玫瑰生物科技有限公司,中国,山东,济南,116.443652,36.272905,
218,济南科海有限公司,中国,山东,济南,116.439377,36.261280,
219,济南天鸿铝业有限公司,中国,山东,济南,116.459160,36.166502,
220,山东芳蕾玫瑰科技开发有限公司,中国,山东,济南,116.427533,36.257681,
221,济南弘群机械配件有限公司,中国,山东,济南,116.424752,36.254587,
222,济南圣铨智能制造有限公司,中国,山东,济南,,,未找到坐标
223,济南鸿德橡塑有限公司,中国,山东,济南,116.420369,36.256068,
224,山东阿水信息科技有限公司,中国,山东,济南,,,未找到坐标
225,山东弘睿通新材料科技有限公司,中国,山东,济南,,,未找到坐标
226,山东华哲环保科技有限公司,中国,山东,济南,,,未找到坐标
227,济南山水水泥有限公司,中国,山东,济南,117.171335,37.190052,
228,华沃德源环境技术（济南）有限公司,中国,山东,济南,117.134320,37.155131,
229,山东大航激光智能装备有限公司,中国,山东,济南,,,未找到坐标
230,济南华云精密机械有限公司,中国,山东,济南,117.119105,37.168698,
231,山东科润赢新材料科技有限公司,中国,山东,济南,,,未找到坐标
232,时代低空（山东）产业发展有限公司,中国,山东,济南,,,未找到坐标
233,山东云雕机械设备有限公司,中国,山东,济南,,,未找到坐标
234,山东中能环境科技有限责任公司,中国,山东,济南,,,未找到坐标
235,济南云盛科技有限公司,中国,山东,济南,117.119652,37.169508,
236,山东鲁软数字科技有限公司,中国,山东,济南,116.995807,36.667943,
237,山东省环保发展集团环境医院有限公司,中国,山东,济南,117.233760,36.695324,
238,山东佳亿信息科技有限责任公司,中国,山东,济南,,,未找到坐标
239,山东奥苏本医疗设备有限公司,中国,山东,济南,,,未找到坐标
240,山东岱盛信息工程技术有限公司,中国,山东,济南,,,未找到坐标
241,山东华特智慧技术有限公司,中国,山东,济南,117.133782,36.681210,
242,山东华辰液压科技有限公司,中国,山东,济南,,,未找到坐标
243,济南威德检测工程有限公司,中国,山东,济南,,,未找到坐标
244,山东金威刻激光科技有限公司,中国,山东,济南,117.128648,36.675632,
245,山东在线信息科技有限责任公司,中国,山东,济南,,,未找到坐标
246,山东金誉伟业智能科技有限公司,中国,山东,济南,,,未找到坐标
247,山东赛思特流体控制系统有限公司,中国,山东,济南,117.246671,36.887718,
248,山东泉柏园林绿化工程有限公司,中国,山东,济南,,,未找到坐标
249,济南捷盛建材新技术有限公司,中国,山东,济南,,,未找到坐标
250,山东捷关信息技术有限公司,中国,山东,济南,,,未找到坐标
251,山东政通地理信息有限公司,中国,山东,济南,,,未找到坐标
252,济南鸿瑞奇软件科技有限公司,中国,山东,济南,,,未找到坐标
253,济南大智电力科技有限公司,中国,山东,济南,,,未找到坐标
254,济南新天宇汽车电器有限公司,中国,山东,济南,117.270342,36.688825,
255,山东星图信息科技有限公司,中国,山东,济南,,,未找到坐标
256,算网智核（山东）数字技术有限公司,中国,山东,济南,,,未找到坐标
257,致未来（山东）信息科技服务有限公司,中国,山东,济南,,,未找到坐标
258,山东立泰生物科技有限公司,中国,山东,济南,117.213102,36.667581,
259,永基众合（山东）科创集团有限公司,中国,山东,济南,,,未找到坐标
260,山东宸翰软件技术有限公司,中国,山东,济南,,,未找到坐标
261,山东蓝绿青环保科技有限公司,中国,山东,济南,117.148015,36.664116,
262,果然基因科技（山东）股份有限公司,中国,山东,济南,,,未找到坐标
263,山东融邦智能科技有限公司,中国,山东,济南,,,未找到坐标
264,山东巴罗克生物科技股份有限公司,中国,山东,济南,117.134943,36.679429,
265,济南西联电气有限公司,中国,山东,济南,117.120128,36.652069,
266,山东鸿信网络科技有限公司,中国,山东,济南,,,未找到坐标
267,济南聚鑫供应链管理有限公司,中国,山东,济南,117.120128,36.652069,
268,济南杰铭电子有限公司,中国,山东,济南,117.031625,36.679825,
269,森川数字科技（山东）有限公司,中国,山东,济南,117.133613,36.677186,
270,山东达网信息科技有限公司,中国,山东,济南,,,未找到坐标
271,中建八局（山东）设计咨询有限公司,中国,山东,济南,117.123830,36.678990,
272,山东星沃智能科技有限公司,中国,山东,济南,,,未找到坐标
273,山东中程试验检测有限公司,中国,山东,济南,,,未找到坐标
274,山东西泰克仪器有限公司,中国,山东,济南,117.134621,36.683319,
275,济南明瑞宏利电力有限公司,中国,山东,济南,,,未找到坐标
276,山东佰泰丰信息科技有限公司,中国,山东,济南,,,未找到坐标
277,济南卫星产业发展集团有限公司,中国,山东,济南,,,未找到坐标
278,山东擎飞信息科技有限公司,中国,山东,济南,,,未找到坐标
279,山东雅恩智护科技有限公司,中国,山东,济南,,,未找到坐标
280,济南奇牛信息科技有限公司,中国,山东,济南,,,未找到坐标
281,山东幻途消防科技服务有限公司,中国,山东,济南,117.222545,36.669412,
282,汉宸国际工程设计集团有限公司,中国,山东,济南,117.144263,36.662775,
283,山东青牛数据科技有限公司,中国,山东,济南,,,未找到坐标
284,济南广音医疗科技有限公司,中国,山东,济南,117.134884,36.679332,
285,济南卓尔电力科技有限公司,中国,山东,济南,,,未找到坐标
286,山东赛瑞智能科技有限公司,中国,山东,济南,,,未找到坐标
287,山东高晟机器人有限公司,中国,山东,济南,,,未找到坐标
288,山东达沃智能科技有限公司,中国,山东,济南,,,未找到坐标
289,山东泉涌环境科技有限公司,中国,山东,济南,,,未找到坐标
290,济南蓝信智能科技有限公司,中国,山东,济南,,,未找到坐标
291,山东艾因智能科技有限公司,中国,山东,济南,,,未找到坐标
292,中建五局（山东）投资建设有限公司,中国,山东,济南,,,未找到坐标
293,山东向明数智物联科技有限公司,中国,山东,济南,,,未找到坐标
294,山东本善工程技术有限公司,中国,山东,济南,,,未找到坐标
295,山东冰林环境技术有限公司,中国,山东,济南,,,未找到坐标
296,华通智造（山东）智能科技集团有限公司,中国,山东,济南,,,未找到坐标
297,山东坤铭网络科技有限公司,中国,山东,济南,,,未找到坐标
298,青盈云计算有限公司,中国,山东,济南,,,未找到坐标
299,山东卓越智联信息科技有限公司,中国,山东,济南,,,未找到坐标
300,山东易网管软件有限公司,中国,山东,济南,,,未找到坐标
301,山东省科技咨询中心有限公司,中国,山东,济南,,,未找到坐标
302,山东康格能源科技有限公司,中国,山东,济南,116.968898,36.687055,
303,山东科岳科技有限公司,中国,山东,济南,,,未找到坐标
304,山东华幕建筑信息技术有限公司,中国,山东,济南,117.138325,36.677425,
305,济南网智大数据科技有限公司,中国,山东,济南,,,未找到坐标
306,山东法因数控机械设备有限公司,中国,山东,济南,,,未找到坐标
307,山东电工电气集团高新液储科技有限公司,中国,山东,济南,,,未找到坐标
308,山东恩必思信息技术有限公司,中国,山东,济南,,,未找到坐标
309,山东图灵锶科技有限公司,中国,山东,济南,,,未找到坐标
310,山东睿创未来技术有限公司,中国,山东,济南,,,未找到坐标
311,水发检测科技有限公司,中国,山东,济南,,,未找到坐标
312,山东迪博电子科技有限公司,中国,山东,济南,117.031625,36.679825,
313,济南大森制冷工程有限公司,中国,山东,济南,117.120128,36.652069,
314,济南华云科雷防雷科技有限责任公司,中国,山东,济南,,,未找到坐标
315,山东图灵锶软件有限公司,中国,山东,济南,,,未找到坐标
316,山东艾克韦医学检验所有限公司,中国,山东,济南,117.222725,36.669625,
317,济南有人物联网技术有限公司,中国,山东,济南,117.341785,36.692246,
318,山东普源电力工程有限公司,中国,山东,济南,,,未找到坐标
319,山东融为信息科技有限公司,中国,山东,济南,,,未找到坐标
320,山东中科思尔科技有限公司,中国,山东,济南,,,未找到坐标
321,山东舜丰生物科技有限公司,中国,山东,济南,116.779453,36.504037,
322,山东正元航空遥感技术有限公司,中国,山东,济南,117.136897,36.674807,
323,龙山云仓（山东）共享科技有限公司,中国,山东,济南,,,未找到坐标
324,山东网驰信息技术有限公司,中国,山东,济南,,,未找到坐标
325,济南达信生物科技有限公司,中国,山东,济南,,,未找到坐标
326,济南酷云无人机科技有限公司,中国,山东,济南,,,未找到坐标
327,一本教育科技（山东）有限公司,中国,山东,济南,,,未找到坐标
328,山东诺码信信息科技有限公司,中国,山东,济南,,,未找到坐标
329,山东中天泰信息技术有限公司,中国,山东,济南,,,未找到坐标
330,山东盛芯电子科技有限公司,中国,山东,济南,117.031625,36.679825,
331,山东乾立光电科技有限公司,中国,山东,济南,,,未找到坐标
332,山东安畅检测技术有限公司,中国,山东,济南,117.141496,36.663952,
333,济南迪讯信息技术有限公司,中国,山东,济南,,,未找到坐标
334,山东星科数字科技有限公司,中国,山东,济南,,,未找到坐标
335,山东映湃健康科技有限公司,中国,山东,济南,,,未找到坐标
336,山东省泉港生物技术有限公司,中国,山东,济南,,,未找到坐标
337,山东大国治礼教育科技集团有限公司,中国,山东,济南,,,未找到坐标
338,山东宏宜科技服务有限公司,中国,山东,济南,,,未找到坐标
339,浪潮企业云科技（山东）有限公司,中国,山东,济南,,,未找到坐标
340,济南倍生康医药化学有限公司,中国,山东,济南,,,未找到坐标
341,山东中瑞源生物科技有限公司,中国,山东,济南,,,未找到坐标
342,山东中安建设管理有限公司,中国,山东,济南,,,未找到坐标
343,智慧泉城智能科技有限公司,中国,山东,济南,,,未找到坐标
344,山东阿尔法国际医学诊断有限公司,中国,山东,济南,,,未找到坐标
345,济南瑞特安防设备有限公司,中国,山东,济南,,,未找到坐标
346,济南来搜医疗科技有限公司,中国,山东,济南,,,未找到坐标
347,孝安建设有限公司,中国,山东,济南,,,未找到坐标
348,山东乾元康养发展有限公司,中国,山东,济南,,,未找到坐标
349,济南海颐软件有限公司,中国,山东,济南,117.120128,36.652069,
350,济南汉腾激光技术有限公司,中国,山东,济南,117.301000,36.726855,
351,世纪开元智印互联科技集团股份有限公司,中国,山东,济南,117.283822,36.724720,
352,山东柔克智能科技有限公司,中国,山东,济南,,,未找到坐标
353,山东新高质信息技术有限公司,中国,山东,济南,,,未找到坐标
354,山东凯尔曼机器人有限公司,中国,山东,济南,,,未找到坐标
355,山东鲁鼎电气技术有限公司,中国,山东,济南,117.150601,36.689942,
356,山东赛宝信息技术咨询有限公司,中国,山东,济南,,,未找到坐标
357,山东标度信息科技有限公司,中国,山东,济南,,,未找到坐标
358,山东泽鹿安全技术有限公司,中国,山东,济南,117.129009,36.673819,
359,山东舜知信息科技有限公司,中国,山东,济南,,,未找到坐标
360,济南趵突泉酿酒有限责任公司,中国,山东,济南,117.025462,36.497333,
361,济南点维智能装备有限公司,中国,山东,济南,,,未找到坐标
362,山东城安智能科技有限公司,中国,山东,济南,,,未找到坐标
363,济南大鹏机械设备有限公司,中国,山东,济南,,,请求失败: The operation was aborted due to timeout
364,中建八局（山东）新型材料科技有限公司,中国,山东,济南,,,请求失败: The operation was aborted due to timeout
365,山东能源集团科技发展有限公司,中国,山东,济南,,,请求失败: The operation was aborted due to timeout
366,山东永幸环保科技股份有限公司,中国,山东,济南,,,未找到坐标
367,博利源科技（山东）有限公司,中国,山东,济南,,,未找到坐标
368,山东鹤罡能源科技发展有限公司,中国,山东,济南,,,请求失败: The operation was aborted due to timeout
369,山东省公路设计咨询有限公司,中国,山东,济南,,,请求失败: The operation was aborted due to timeout
370,山东齐鲁壹点传媒有限公司,中国,山东,济南,,,未找到坐标
371,山东省鲁商建筑设计有限公司,中国,山东,济南,,,未找到坐标
372,山东运筹软件有限公司,中国,山东,济南,,,未找到坐标
373,山东顺国电子科技有限公司,中国,山东,济南,117.147205,36.677188,
374,山东轨道交通研究院有限公司,中国,山东,济南,116.752414,36.548048,
375,山东矩阵软件工程股份有限公司,中国,山东,济南,,,未找到坐标
376,山东澜橙数字科技有限公司,中国,山东,济南,,,未找到坐标
377,山东万天信息科技有限公司,中国,山东,济南,,,未找到坐标
378,山东大众云学教育科技有限公司,中国,山东,济南,,,未找到坐标
379,山东省人民防空建筑设计院有限责任公司,中国,山东,济南,117.076814,36.657302,
380,山东中创软件商用中间件股份有限公司,中国,山东,济南,117.044530,36.642583,
381,山东华中微电信息技术有限公司,中国,山东,济南,,,未找到坐标
382,山东高速交建集团济南养护科技有限公司,中国,山东,济南,117.120128,36.652069,
383,山东卓联环保科技有限公司,中国,山东,济南,,,未找到坐标
384,鲁担（山东）数据科技有限公司,中国,山东,济南,117.105004,36.669081,
385,山东超星智能科技有限公司,中国,山东,济南,,,未找到坐标
