序号,企业名称,国家,省份,城市
120,山东维普信息科技发展有限公司,中国,山东,济南
121,济南延世数控设备有限公司,中国,山东,济南
122,济南铭泰展鸿自动化设备有限公司,中国,山东,济南
123,山东金源杰生态农业科技发展有限公司,中国,山东,济南
124,济南融华新材料技术有限公司,中国,山东,济南
125,达夫（济南）工业科技有限公司,中国,山东,济南
126,济南清瀛工程咨询服务有限公司,中国,山东,济南
127,山东启迪济能环保科技有限公司,中国,山东,济南
128,济南腾笙环保科技有限公司,中国,山东,济南
129,济南鼎润纸制品有限公司,中国,山东,济南
130,济南天翔锅炉有限公司,中国,山东,济南
131,山东大鲁新型环保墙材科技有限公司,中国,山东,济南
132,济南中路昌试验机制造有限公司,中国,山东,济南
133,山东未来数据科技有限公司,中国,山东,济南
134,济南益洲激光科技有限公司,中国,山东,济南
135,山东仕达环保科技有限公司,中国,山东,济南
136,山东信邦工业设备有限公司,中国,山东,济南
137,山东涵轲尔建设机械有限公司,中国,山东,济南
138,山东子峰生物技术有限公司,中国,山东,济南
139,济南华川数控机械有限公司,中国,山东,济南
140,山东容万电气设备有限公司,中国,山东,济南
141,济南千木奇农业生态园有限公司,中国,山东,济南
142,山东津达特种线缆集团有限公司,中国,山东,济南
143,山东微谱检测技术有限公司,中国,山东,济南
144,山东金太阳制药机械有限公司,中国,山东,济南
145,山东明莱特锻造有限公司,中国,山东,济南
146,济南恒储机械制造有限公司,中国,山东,济南
147,山东三生万物生物科技有限公司,中国,山东,济南
148,山东万运汽车配件有限公司,中国,山东,济南
149,济南元通岳机械有限公司,中国,山东,济南
150,济南苏田建材科技有限公司,中国,山东,济南
151,济南厚德耐磨材料有限公司,中国,山东,济南
152,章丘市铜铝铸造厂,中国,山东,济南
153,山东金恒达智能设备有限公司,中国,山东,济南
154,章丘华明水泥新型建材有限公司,中国,山东,济南
155,劲田作物营养（山东）有限公司,中国,山东,济南
156,山东彩星印务有限公司,中国,山东,济南
157,济南泽通机电有限公司,中国,山东,济南
158,山东朝鲁建筑科技有限公司,中国,山东,济南
159,有维光电（山东）有限公司,中国,山东,济南
160,山东引持环保设备有限公司,中国,山东,济南
161,山东欣盛自动化设备有限公司,中国,山东,济南
162,山东三盛能源装备科技有限责任公司,中国,山东,济南
163,中科鸿业建材（山东）有限公司,中国,山东,济南
164,山东金钻石金属材料有限公司,中国,山东,济南
165,济南旺诚环保科技有限公司,中国,山东,济南
166,济南和新能源科技有限公司,中国,山东,济南
167,山东威源机械股份有限公司,中国,山东,济南
168,济南泽楷机械制造股份有限公司,中国,山东,济南
169,济南矗鑫锻造机械有限公司,中国,山东,济南
170,山东金呈阳建设工程有限公司,中国,山东,济南
171,山东旺登生物科技有限公司,中国,山东,济南
172,山东济钢鲁纳新材料科技有限公司,中国,山东,济南
173,山东信合成航空科技有限公司,中国,山东,济南
174,山东圣泉电子材料有限公司,中国,山东,济南
175,美敦宜（山东）医疗器械有限公司,中国,山东,济南
176,济南元首针织股份有限公司,中国,山东,济南
177,济南优谷生物技术有限公司,中国,山东,济南
178,铭牌精工机械（山东）有限公司,中国,山东,济南
179,济南易丰农业科技有限公司,中国,山东,济南
180,济南天峰液压机械有限公司,中国,山东,济南
181,山东欧亚德新材料科技有限公司,中国,山东,济南
182,山东九肽生物科技集团有限公司,中国,山东,济南
183,阿斯泰克（山东）环保纤维有限公司,中国,山东,济南
184,山东青云装备科技有限公司,中国,山东,济南
185,山东维磁新材料有限公司,中国,山东,济南
186,山东三立重工集团有限公司,中国,山东,济南
187,济南广兴建设集团有限公司,中国,山东,济南
188,济南虫洞智能家居设施有限公司,中国,山东,济南
189,山东亿晨新材料有限公司,中国,山东,济南
190,济南万安通信技术有限公司,中国,山东,济南
191,济南铭品机电设备有限公司,中国,山东,济南
192,山东盈鑫土工材料有限公司,中国,山东,济南
193,济南市莱芜金牛矿业开发公司,中国,山东,济南
194,山东莱芜煤机智能科技有限公司,中国,山东,济南
195,山东禾宝药业有限公司,中国,山东,济南
196,山东物华新材料科技有限公司,中国,山东,济南
197,山东华涛药业有限公司,中国,山东,济南
198,山东顺泰电气有限公司,中国,山东,济南
199,山东祥川环保科技有限公司,中国,山东,济南
200,济南市时代酒具制造股份有限公司,中国,山东,济南
201,山东德瑞祥制冷科技有限公司,中国,山东,济南
202,山东恒越汽车内饰件有限公司,中国,山东,济南
203,山东新青云科技有限公司,中国,山东,济南
204,山东深蓝信息科技有限公司,中国,山东,济南
205,山东红太阳地毯有限公司,中国,山东,济南
206,山东兴隆机械有限公司,中国,山东,济南
207,山东科泰电力科技有限公司,中国,山东,济南
208,济南市润泽纤维有限公司,中国,山东,济南
209,山东昊坤果业有限公司,中国,山东,济南
210,山东齐贤新材料科技有限公司,中国,山东,济南
211,济南钢城元达管业有限公司,中国,山东,济南
212,山东奇力浦电气科技有限公司,中国,山东,济南
213,济南市佳新纤维有限公司,中国,山东,济南
214,山东邦巨实业有限公司,中国,山东,济南
215,莱芜市瑞程公路材料有限公司,中国,山东,济南
216,山东立志高速公路材料有限公司,中国,山东,济南
217,济南蓝妃玫瑰生物科技有限公司,中国,山东,济南
218,济南科海有限公司,中国,山东,济南
219,济南天鸿铝业有限公司,中国,山东,济南
220,山东芳蕾玫瑰科技开发有限公司,中国,山东,济南
221,济南弘群机械配件有限公司,中国,山东,济南
222,济南圣铨智能制造有限公司,中国,山东,济南
223,济南鸿德橡塑有限公司,中国,山东,济南
224,山东阿水信息科技有限公司,中国,山东,济南
225,山东弘睿通新材料科技有限公司,中国,山东,济南
226,山东华哲环保科技有限公司,中国,山东,济南
227,济南山水水泥有限公司,中国,山东,济南
228,华沃德源环境技术（济南）有限公司,中国,山东,济南
229,山东大航激光智能装备有限公司,中国,山东,济南
230,济南华云精密机械有限公司,中国,山东,济南
231,山东科润赢新材料科技有限公司,中国,山东,济南
232,时代低空（山东）产业发展有限公司,中国,山东,济南
233,山东云雕机械设备有限公司,中国,山东,济南
234,山东中能环境科技有限责任公司,中国,山东,济南
235,济南云盛科技有限公司,中国,山东,济南
236,山东鲁软数字科技有限公司,中国,山东,济南
237,山东省环保发展集团环境医院有限公司,中国,山东,济南
238,山东佳亿信息科技有限责任公司,中国,山东,济南
239,山东奥苏本医疗设备有限公司,中国,山东,济南
240,山东岱盛信息工程技术有限公司,中国,山东,济南
241,山东华特智慧技术有限公司,中国,山东,济南
242,山东华辰液压科技有限公司,中国,山东,济南
243,济南威德检测工程有限公司,中国,山东,济南
244,山东金威刻激光科技有限公司,中国,山东,济南
245,山东在线信息科技有限责任公司,中国,山东,济南
246,山东金誉伟业智能科技有限公司,中国,山东,济南
247,山东赛思特流体控制系统有限公司,中国,山东,济南
248,山东泉柏园林绿化工程有限公司,中国,山东,济南
249,济南捷盛建材新技术有限公司,中国,山东,济南
250,山东捷关信息技术有限公司,中国,山东,济南
251,山东政通地理信息有限公司,中国,山东,济南
252,济南鸿瑞奇软件科技有限公司,中国,山东,济南
253,济南大智电力科技有限公司,中国,山东,济南
254,济南新天宇汽车电器有限公司,中国,山东,济南
255,山东星图信息科技有限公司,中国,山东,济南
256,算网智核（山东）数字技术有限公司,中国,山东,济南
257,致未来（山东）信息科技服务有限公司,中国,山东,济南
258,山东立泰生物科技有限公司,中国,山东,济南
259,永基众合（山东）科创集团有限公司,中国,山东,济南
260,山东宸翰软件技术有限公司,中国,山东,济南
261,山东蓝绿青环保科技有限公司,中国,山东,济南
262,果然基因科技（山东）股份有限公司,中国,山东,济南
263,山东融邦智能科技有限公司,中国,山东,济南
264,山东巴罗克生物科技股份有限公司,中国,山东,济南
265,济南西联电气有限公司,中国,山东,济南
266,山东鸿信网络科技有限公司,中国,山东,济南
267,济南聚鑫供应链管理有限公司,中国,山东,济南
268,济南杰铭电子有限公司,中国,山东,济南
269,森川数字科技（山东）有限公司,中国,山东,济南
270,山东达网信息科技有限公司,中国,山东,济南
271,中建八局（山东）设计咨询有限公司,中国,山东,济南
272,山东星沃智能科技有限公司,中国,山东,济南
273,山东中程试验检测有限公司,中国,山东,济南
274,山东西泰克仪器有限公司,中国,山东,济南
275,济南明瑞宏利电力有限公司,中国,山东,济南
276,山东佰泰丰信息科技有限公司,中国,山东,济南
277,济南卫星产业发展集团有限公司,中国,山东,济南
278,山东擎飞信息科技有限公司,中国,山东,济南
279,山东雅恩智护科技有限公司,中国,山东,济南
280,济南奇牛信息科技有限公司,中国,山东,济南
281,山东幻途消防科技服务有限公司,中国,山东,济南
282,汉宸国际工程设计集团有限公司,中国,山东,济南
283,山东青牛数据科技有限公司,中国,山东,济南
284,济南广音医疗科技有限公司,中国,山东,济南
285,济南卓尔电力科技有限公司,中国,山东,济南
286,山东赛瑞智能科技有限公司,中国,山东,济南
287,山东高晟机器人有限公司,中国,山东,济南
288,山东达沃智能科技有限公司,中国,山东,济南
289,山东泉涌环境科技有限公司,中国,山东,济南
290,济南蓝信智能科技有限公司,中国,山东,济南
291,山东艾因智能科技有限公司,中国,山东,济南
292,中建五局（山东）投资建设有限公司,中国,山东,济南
293,山东向明数智物联科技有限公司,中国,山东,济南
294,山东本善工程技术有限公司,中国,山东,济南
295,山东冰林环境技术有限公司,中国,山东,济南
296,华通智造（山东）智能科技集团有限公司,中国,山东,济南
297,山东坤铭网络科技有限公司,中国,山东,济南
298,青盈云计算有限公司,中国,山东,济南
299,山东卓越智联信息科技有限公司,中国,山东,济南
300,山东易网管软件有限公司,中国,山东,济南
301,山东省科技咨询中心有限公司,中国,山东,济南
302,山东康格能源科技有限公司,中国,山东,济南
303,山东科岳科技有限公司,中国,山东,济南
304,山东华幕建筑信息技术有限公司,中国,山东,济南
305,济南网智大数据科技有限公司,中国,山东,济南
306,山东法因数控机械设备有限公司,中国,山东,济南
307,山东电工电气集团高新液储科技有限公司,中国,山东,济南
308,山东恩必思信息技术有限公司,中国,山东,济南
309,山东图灵锶科技有限公司,中国,山东,济南
310,山东睿创未来技术有限公司,中国,山东,济南
311,水发检测科技有限公司,中国,山东,济南
312,山东迪博电子科技有限公司,中国,山东,济南
313,济南大森制冷工程有限公司,中国,山东,济南
314,济南华云科雷防雷科技有限责任公司,中国,山东,济南
315,山东图灵锶软件有限公司,中国,山东,济南
316,山东艾克韦医学检验所有限公司,中国,山东,济南
317,济南有人物联网技术有限公司,中国,山东,济南
318,山东普源电力工程有限公司,中国,山东,济南
319,山东融为信息科技有限公司,中国,山东,济南
320,山东中科思尔科技有限公司,中国,山东,济南
321,山东舜丰生物科技有限公司,中国,山东,济南
322,山东正元航空遥感技术有限公司,中国,山东,济南
323,龙山云仓（山东）共享科技有限公司,中国,山东,济南
324,山东网驰信息技术有限公司,中国,山东,济南
325,济南达信生物科技有限公司,中国,山东,济南
326,济南酷云无人机科技有限公司,中国,山东,济南
327,一本教育科技（山东）有限公司,中国,山东,济南
328,山东诺码信信息科技有限公司,中国,山东,济南
329,山东中天泰信息技术有限公司,中国,山东,济南
330,山东盛芯电子科技有限公司,中国,山东,济南
331,山东乾立光电科技有限公司,中国,山东,济南
332,山东安畅检测技术有限公司,中国,山东,济南
333,济南迪讯信息技术有限公司,中国,山东,济南
334,山东星科数字科技有限公司,中国,山东,济南
335,山东映湃健康科技有限公司,中国,山东,济南
336,山东省泉港生物技术有限公司,中国,山东,济南
337,山东大国治礼教育科技集团有限公司,中国,山东,济南
338,山东宏宜科技服务有限公司,中国,山东,济南
339,浪潮企业云科技（山东）有限公司,中国,山东,济南
340,济南倍生康医药化学有限公司,中国,山东,济南
341,山东中瑞源生物科技有限公司,中国,山东,济南
342,山东中安建设管理有限公司,中国,山东,济南
343,智慧泉城智能科技有限公司,中国,山东,济南
344,山东阿尔法国际医学诊断有限公司,中国,山东,济南
345,济南瑞特安防设备有限公司,中国,山东,济南
346,济南来搜医疗科技有限公司,中国,山东,济南
347,孝安建设有限公司,中国,山东,济南
348,山东乾元康养发展有限公司,中国,山东,济南
349,济南海颐软件有限公司,中国,山东,济南
350,济南汉腾激光技术有限公司,中国,山东,济南
351,世纪开元智印互联科技集团股份有限公司,中国,山东,济南
352,山东柔克智能科技有限公司,中国,山东,济南
353,山东新高质信息技术有限公司,中国,山东,济南
354,山东凯尔曼机器人有限公司,中国,山东,济南
355,山东鲁鼎电气技术有限公司,中国,山东,济南
356,山东赛宝信息技术咨询有限公司,中国,山东,济南
357,山东标度信息科技有限公司,中国,山东,济南
358,山东泽鹿安全技术有限公司,中国,山东,济南
359,山东舜知信息科技有限公司,中国,山东,济南
360,济南趵突泉酿酒有限责任公司,中国,山东,济南
361,济南点维智能装备有限公司,中国,山东,济南
362,山东城安智能科技有限公司,中国,山东,济南
363,济南大鹏机械设备有限公司,中国,山东,济南
364,中建八局（山东）新型材料科技有限公司,中国,山东,济南
365,山东能源集团科技发展有限公司,中国,山东,济南
366,山东永幸环保科技股份有限公司,中国,山东,济南
367,博利源科技（山东）有限公司,中国,山东,济南
368,山东鹤罡能源科技发展有限公司,中国,山东,济南
369,山东省公路设计咨询有限公司,中国,山东,济南
370,山东齐鲁壹点传媒有限公司,中国,山东,济南
371,山东省鲁商建筑设计有限公司,中国,山东,济南
372,山东运筹软件有限公司,中国,山东,济南
373,山东顺国电子科技有限公司,中国,山东,济南
374,山东轨道交通研究院有限公司,中国,山东,济南
375,山东矩阵软件工程股份有限公司,中国,山东,济南
376,山东澜橙数字科技有限公司,中国,山东,济南
377,山东万天信息科技有限公司,中国,山东,济南
378,山东大众云学教育科技有限公司,中国,山东,济南
379,山东省人民防空建筑设计院有限责任公司,中国,山东,济南
380,山东中创软件商用中间件股份有限公司,中国,山东,济南
381,山东华中微电信息技术有限公司,中国,山东,济南
382,山东高速交建集团济南养护科技有限公司,中国,山东,济南
383,山东卓联环保科技有限公司,中国,山东,济南
384,鲁担（山东）数据科技有限公司,中国,山东,济南
385,山东超星智能科技有限公司,中国,山东,济南
386,山东华埠特克智能机电工程有限公司,中国,山东,济南
387,山东泉景胜跃信息技术有限公司,中国,山东,济南
388,山东星冉信息科技有限公司,中国,山东,济南
389,山东大千管理咨询有限公司,中国,山东,济南
390,山东建固特种专业工程有限公司,中国,山东,济南
391,山东正中信息技术股份有限公司,中国,山东,济南
392,山东方正恒通智能科技有限公司,中国,山东,济南
393,济南舜信达电力科技有限公司,中国,山东,济南
394,山东绿创环境科技有限公司,中国,山东,济南
395,理文科技（山东）股份有限公司,中国,山东,济南
396,法正智能科技有限公司,中国,山东,济南
397,山东铭智达自动化科技有限公司,中国,山东,济南
398,山东维克特信息技术有限公司,中国,山东,济南
399,卓华光电科技集团有限公司,中国,山东,济南
400,山东建筑大学工程鉴定加固研究院有限公司,中国,山东,济南
401,山东创德智能科技有限公司,中国,山东,济南
402,山东德能物联科技有限公司,中国,山东,济南
403,匠为文化科技集团有限公司,中国,山东,济南
404,济南若泰数控科技有限公司,中国,山东,济南
405,山东鹰格信息工程有限公司,中国,山东,济南
406,山东盛德智能科技股份有限公司,中国,山东,济南
407,济南强力制辊设备有限公司,中国,山东,济南
408,济南海州专用车有限公司,中国,山东,济南
409,山东智和创信息技术有限公司,中国,山东,济南
410,山东怡鲁科技有限公司,中国,山东,济南
411,济南晶程电器有限公司,中国,山东,济南
412,山东恒辉软件有限公司,中国,山东,济南
413,济南晨生医疗科技有限公司,中国,山东,济南
414,观云（山东）智能科技有限公司,中国,山东,济南
415,信启奇慧（山东）数字技术有限公司,中国,山东,济南
416,济南瑞源智能城市开发有限公司,中国,山东,济南
417,济南中创工业测试系统有限公司,中国,山东,济南
418,山东金斗网络科技有限公司,中国,山东,济南
419,济南精益达农牧机械有限公司,中国,山东,济南
420,山东瑞诺液压机械有限公司,中国,山东,济南
421,山东唯尚科技发展有限公司,中国,山东,济南
422,山东新时代数控科技有限公司,中国,山东,济南
423,印美（山东）文化科技有限公司,中国,山东,济南
424,山东驰戈电气设备有限公司,中国,山东,济南
425,山东开创云计算有限公司,中国,山东,济南
426,山东山建机械有限公司,中国,山东,济南
427,济南绿宝纸制品有限公司,中国,山东,济南
428,山东交院机械装备科技有限公司,中国,山东,济南
429,济南同誉新材料科技有限公司,中国,山东,济南
430,中科卫星(山东)信息技术有限公司,中国,山东,济南
431,济南际通智能制造有限公司,中国,山东,济南
432,山东德源电力科技股份有限公司,中国,山东,济南
433,济南东方雨虹建筑材料有限公司,中国,山东,济南
434,济南铂晶电子科技股份有限公司,中国,山东,济南
435,山东瑞龙环保科技有限公司,中国,山东,济南
436,山东梅格彤天电气有限公司,中国,山东,济南
437,济南佳进新材料有限公司,中国,山东,济南
438,山东建研科技发展有限公司,中国,山东,济南
439,山东品象文化产业有限公司,中国,山东,济南
440,同方德诚（山东）科技股份公司,中国,山东,济南
441,麒麟（山东）医药科技有限公司,中国,山东,济南
442,济南轨道交通新材料有限公司,中国,山东,济南
443,济南六度网络技术有限公司,中国,山东,济南
444,济南济钢数创科技有限公司,中国,山东,济南
445,山东省淮海建设管理集团有限公司,中国,山东,济南
446,济南中意维尔科技有限公司,中国,山东,济南
447,山东省环保发展集团科技有限公司,中国,山东,济南
448,济南超级计算中心有限公司,中国,山东,济南
449,济南闰凯医疗器械有限公司,中国,山东,济南
450,山东省环科院环境检测有限公司,中国,山东,济南
451,山东怀思人工智能科技有限公司,中国,山东,济南
452,山东旗帜信息有限公司,中国,山东,济南
453,山东志盈医学科技有限公司,中国,山东,济南
454,济南作为科技有限公司,中国,山东,济南
455,水发养护工程(山东)集团有限公司,中国,山东,济南
456,山东锦尚田生物科技有限公司,中国,山东,济南
457,济南林青铸造技术有限公司,中国,山东,济南
458,山东种业智科农业服务集团有限公司,中国,山东,济南
459,山东齐盛水务发展有限公司,中国,山东,济南
460,济南思明特科技有限公司,中国,山东,济南
461,山东闻远通信技术有限公司,中国,山东,济南
462,山东智捷电子商务有限公司,中国,山东,济南
463,山东尚安智能科技有限公司,中国,山东,济南
464,山东豸信认证服务有限公司,中国,山东,济南
465,济南中科数控设备有限公司,中国,山东,济南
466,山东山科智晶光电科技有限公司,中国,山东,济南
467,山东博科快速检测技术有限公司,中国,山东,济南
468,山东耀华玻璃有限公司,中国,山东,济南
469,济南镭曼数控设备有限公司,中国,山东,济南
470,山东云旗信息科技有限公司,中国,山东,济南
471,山东上远环保科技有限公司,中国,山东,济南
472,山东辰轩机器人科技有限公司,中国,山东,济南
473,山东智邦建设工程检测有限公司,中国,山东,济南
474,佰伦茨暖通科技（山东）有限责任公司,中国,山东,济南
475,山东思科捷生物技术有限公司,中国,山东,济南
476,山东微波电真空技术有限公司,中国,山东,济南
477,山东通恒检测技术有限公司,中国,山东,济南
478,山东涌达设备检测技术有限公司,中国,山东,济南
479,济南天恒盛检测技术咨询服务有限公司,中国,山东,济南
480,山东铂锐激光科技有限公司,中国,山东,济南
481,济南火哨安全科技有限公司,中国,山东,济南
482,山东鼎瑞泰沣实业有限公司,中国,山东,济南
483,山东长青金属表面工程有限公司,中国,山东,济南
484,山东明天机械集团股份有限公司,中国,山东,济南
485,章丘市绿创农业科技有限公司,中国,山东,济南
486,山东明风机械制造有限公司,中国,山东,济南
487,济南润智机械制造有限公司,中国,山东,济南
488,济南泰康锻造股份有限公司,中国,山东,济南
489,济南圣泉倍进陶瓷过滤器有限公司,中国,山东,济南
490,山东鹏程光伏材料有限公司,中国,山东,济南
491,山东鑫永恒新材料有限公司,中国,山东,济南
492,山东达洁过滤器有限公司,中国,山东,济南
493,济南天马泰山石材有限公司,中国,山东,济南
494,济南隆超石油机械锻造有限公司,中国,山东,济南
495,山东神舟制冷设备有限公司,中国,山东,济南
496,中材人工晶体研究院（山东）有限公司,中国,山东,济南
497,济南吉隆锻造有限公司,中国,山东,济南
498,山东聚鑫集团钢结构有限公司,中国,山东,济南
499,山东南海气囊工程有限公司,中国,山东,济南
500,山东中合果蔬食品有限公司,中国,山东,济南
501,济南安地冶金机械设备有限公司,中国,山东,济南
502,好为尔机械（山东）有限公司,中国,山东,济南
503,济南冰思源制冷设备有限公司,中国,山东,济南
504,济南奥普瑞思智能装备有限公司,中国,山东,济南
505,山东汉方制药股份有限公司,中国,山东,济南
506,济南泽业机床制造有限公司,中国,山东,济南
507,济南深蓝动物保健品有限公司,中国,山东,济南
508,山东正奇塑料机械有限公司,中国,山东,济南
509,山东裕城生物技术有限公司,中国,山东,济南
510,山东欣润同创环保科技有限公司,中国,山东,济南
511,山东苗旺节水灌溉设备有限公司,中国,山东,济南
512,山东朗进通信有限公司,中国,山东,济南
513,山东天铭重工科技股份有限公司,中国,山东,济南
514,山东盛博莱电力工程有限公司,中国,山东,济南
515,山东青山铸造有限公司,中国,山东,济南
516,山东舜博金属制品有限公司,中国,山东,济南
517,山东恒威电力设备有限公司,中国,山东,济南
518,山东希格斯新能源有限责任公司,中国,山东,济南
519,朗屹环保科技（山东）有限公司,中国,山东,济南
520,瑞希精工装备制造（山东）有限公司,中国,山东,济南
521,山东茂盛管业有限公司,中国,山东,济南
522,山东亿金传动有限公司,中国,山东,济南
523,济南科汇新材料有限公司,中国,山东,济南
524,山东九龙新材料有限公司,中国,山东,济南
525,济南方圆制管有限公司,中国,山东,济南
526,济南领秀激光设备有限公司,中国,山东,济南
527,山东智鑫医疗科技有限公司,中国,山东,济南
528,济南二机床集团（平阴）产业园有限公司,中国,山东,济南
529,济南龙山炭素有限公司,中国,山东,济南
530,山东新科特电气有限公司,中国,山东,济南
531,山东东冠电气有限公司,中国,山东,济南
532,山东建成建设机械有限公司,中国,山东,济南
533,济南佳森包装设备有限公司,中国,山东,济南
534,山东平阴丰源炭素有限责任公司,中国,山东,济南
